Crypto-currency,Start Timestamp,Keyword 'coin',Keyword 'token',Keyword 'bit',Token,Coin,Platform
0x,1502971200000,False,False,False,True,False,False
10mtoken,1508846400000,False,True,False,True,False,False
1337coin,1447156800000,True,False,False,False,True,False
1credit,1458734400000,False,False,False,False,True,False
2give,1463486400000,False,False,False,False,True,False
300-token,1500984000000,False,True,False,True,False,False
42-coin,1389700800000,True,False,False,False,True,False
808coin,1469534400000,True,False,False,False,True,False
8bit,1429444800000,False,False,True,False,True,False
9coin,1494763200000,True,False,False,False,True,False
abjcoin,1510401600000,True,False,False,False,True,False
abncoin,1484913600000,True,False,False,False,True,False
accelerator-network,1511611200000,False,False,False,False,True,False
aces,1471694400000,False,False,False,False,True,False
achain,1503921600000,False,False,False,False,True,False
acoin,1410696000000,True,False,False,False,True,False
adcoin,1503662400000,True,False,False,False,True,False
adelphoi,1497700800000,False,False,False,True,False,False
adshares,1502625600000,False,False,False,True,False,False
adtoken,1498996800000,False,True,False,True,False,False
advanced-internet-blocks,1430395200000,False,False,False,False,True,False
adx-net,1498996800000,False,False,False,True,False,False
adzcoin,1451131200000,True,False,False,False,True,False
aeon,1438776000000,False,False,False,False,True,False
aerium,1511006400000,False,False,False,False,True,False
aeron,1510142400000,False,False,False,False,True,False
aeternity,1496404800000,False,False,False,True,False,False
agoras-tokens,1440417600000,False,True,False,True,False,False
agrello-delta,1505044800000,False,False,False,True,False,False
agrolifecoin,1472990400000,True,False,False,False,True,False
aidos-kuneen,1496750400000,False,False,False,False,True,False
aion,1508414400000,False,False,False,True,False,False
airswap,1508328000000,False,False,False,True,False,False
airtoken,1507723200000,False,True,False,True,False,False
akuya-coin,1508241600000,True,False,False,False,True,False
alis,1507896000000,False,False,False,True,False,False
allion,1488024000000,False,False,False,False,True,False
allsafe,1477828800000,False,False,False,False,True,False
alpacoin,1453723200000,True,False,False,False,True,False
alphabitcoinfund,1463659200000,True,False,True,True,False,False
alqo,1511265600000,False,False,False,False,True,False
altcoin-alt,1493208000000,True,False,False,True,False,False
amber,1508846400000,False,False,False,True,False,False
ambercoin,1423310400000,True,False,False,False,True,False
amis,1492776000000,False,False,False,True,False,False
ammo-rewards,1497355200000,False,False,False,False,True,False
amsterdamcoin,1440158400000,True,False,False,False,True,False
anarchistsprime,1436875200000,False,False,False,False,True,False
animecoin,1393588800000,True,False,False,False,True,False
anoncoin,1373889600000,True,False,False,False,True,False
anryze,1511870400000,False,False,False,False,True,False
antibitcoin,1450267200000,True,False,True,False,True,False
antilitecoin,1458388800000,True,False,False,False,True,False
antimatter,1498392000000,False,False,False,False,True,False
applebyte,1402574400000,False,False,False,False,True,False
applecoin-apw,1502625600000,True,False,False,False,True,False
apx,1495713600000,False,False,False,True,False,False
aquariuscoin,1462363200000,True,False,False,False,True,False
aragon,1495195200000,False,False,False,True,False,False
arbit,1432209600000,False,False,True,False,True,False
arcade-token,1480680000000,False,True,False,True,False,False
arcticcoin,1476964800000,True,False,False,False,True,False
ardor,1469361600000,False,False,False,True,False,False
argentum,1372939200000,False,False,False,False,True,False
argus,1488196800000,False,False,False,False,True,False
aricoin,1392984000000,True,False,False,False,True,False
ark,1490270400000,False,False,False,False,True,False
artbyte,1402574400000,False,False,False,False,True,False
artex-coin,1472558400000,True,False,False,False,True,False
asch,1491134400000,False,False,False,False,True,False
aseancoin,1503230400000,True,False,False,False,True,False
asiacoin,1398081600000,True,False,False,False,True,False
asiadigicoin,1456228800000,True,False,False,False,True,False
asiccoin,1388577600000,True,False,False,False,True,False
astro,1510920000000,False,False,False,False,True,False
atbcoin,1505822400000,True,False,False,False,True,False
atc-coin,1498392000000,True,False,False,False,True,False
atmcoin,1503576000000,True,False,False,False,True,False
atmos,1492516800000,False,False,False,False,True,False
atomic-coin,1476100800000,True,False,False,False,True,False
attention-token-of-media,1507118400000,False,True,False,True,False,False
audiocoin,1433592000000,True,False,False,False,True,False
augur,1446033600000,False,False,False,True,False,False
aureus,1503921600000,False,False,False,False,True,False
auroracoin,1393502400000,True,False,False,False,True,False
aurumcoin,1412856000000,True,False,False,False,True,False
authorship,1508068800000,False,False,False,True,False,False
autonio,1510056000000,False,False,False,False,True,False
avatarcoin,1452081600000,True,False,False,False,True,False
aventus,1504785600000,False,False,False,True,False,False
avoncoin,1486728000000,True,False,False,False,True,False
axfunds,1479470400000,False,False,False,False,True,False
axiom,1438257600000,False,False,False,False,True,False
b2bx,1511265600000,False,False,False,False,True,False
b3coin,1472990400000,True,False,False,False,True,False
bagcoin,1469188800000,True,False,False,False,True,False
bancor,1498219200000,False,False,False,True,False,False
bankcoin,1490961600000,True,False,False,True,False,False
basic-attention-token,1496318400000,False,True,False,True,False,False
bastonet,1507982400000,False,False,False,False,True,False
bata,1432900800000,False,False,False,False,True,False
batcoin,1393848000000,True,False,False,False,True,False
bbqcoin,1368014400000,True,False,False,False,True,False
bcap,1494590400000,False,False,False,True,False,False
beatcoin,1474545600000,True,False,False,False,True,False
beavercoin,1412510400000,True,False,False,False,True,False
belacoin,1395316800000,True,False,False,False,True,False
benjirolls,1484913600000,False,False,False,False,True,False
berncash,1460376000000,False,False,False,False,True,False
bestchain,1491134400000,False,False,False,False,True,False
betacoin,1387108800000,True,False,False,False,True,False
