timestamp,"30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: market_cap-weighted (max_weight=1, min_volume=0)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: volume-weighted (max_weight=1, min_volume=0)",bitcoin
1367236800000,100,100,100,100,100,100,100,100,100,100,100.0
1367323200000,100,100,100,100,100,100,100,100,100,100,101.188965061
1367409600000,100,100,100,100,100,100,100,100,100,100,93.0062213631
1367496000000,100,100,100,100,100,100,100,100,100,100,79.5328829689
1367582400000,100,100,100,100,100,100,100,100,100,100,58.4197214614
1367668800000,100,100,100,100,100,100,100,100,100,100,71.4429817231
1367755200000,100,100,100,100,100,100,100,100,100,100,77.4576161146
1367841600000,100,100,100,100,100,100,100,100,100,100,85.8364678071
1367928000000,100,100,100,100,100,100,100,100,100,100,75.7828470397
1368014400000,100,100,100,100,100,100,100,100,100,100,78.7451446516
1368100800000,100,100,100,100,100,100,100,100,100,100,78.1855565624
1368187200000,100,100,100,100,100,100,100,100,100,100,82.049766214
1368273600000,100,100,100,100,100,100,100,100,100,100,82.4872862653
1368360000000,100,100,100,100,100,100,100,100,100,100,80.5669154024
1368446400000,100,100,100,100,100,100,100,100,100,100,82.3818443333
1368532800000,100,100,100,100,100,100,100,100,100,100,83.1935119677
1368619200000,100,100,100,100,100,100,100,100,100,100,79.3171755633
1368705600000,100,100,100,100,100,100,100,100,100,100,80.069867789
1368792000000,100,100,100,100,100,100,100,100,100,100,83.1270963061
1368878400000,100,100,100,100,100,100,100,100,100,100,86.168905003
1368964800000,100,100,100,100,100,100,100,100,100,100,86.7596583757
