timestamp,"30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: market_cap-weighted (max_weight=1, min_volume=0)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: volume-weighted (max_weight=1, min_volume=0)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=10000)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=100000)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","Daily balanced: market_cap-weighted (max_weight=1, min_volume=0)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=10000)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=100000)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=10000000)","Daily balanced: volume-weighted (max_weight=1, min_volume=0)",Bitcoin
1367236800000,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100.0
1367323200000,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,102.306768921,100.0,100.0,100.0,100.0,100.0,101.188965061
1367409600000,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,86.2991447671,100.0,100.0,100.0,100.0,100.0,93.0062213631
1367496000000,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,62.1627540626,100.0,100.0,100.0,100.0,100.0,79.5328829689
1367582400000,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,30.0161446121,100.0,100.0,100.0,100.0,100.0,58.4197214614
1367668800000,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,43.2412995566,100.0,100.0,100.0,100.0,100.0,71.4429817231
1367755200000,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,50.2195092013,100.0,100.0,100.0,100.0,100.0,77.4576161146
1367841600000,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,60.5313736106,100.0,100.0,100.0,100.0,100.0,85.8364678071
1367928000000,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,46.746930341,100.0,100.0,100.0,100.0,100.0,75.7828470397
1368014400000,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,50.4018155368,100.0,100.0,100.0,100.0,100.0,78.7451446516
1368100800000,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,49.6792648032,100.0,100.0,100.0,100.0,100.0,78.1855565624
1368187200000,100,100,100,100,100,100,100,100,100,100,100.0,100.0,100.0,100.0,54.3926681946,100.0,100.0,100.0,100.0,100.0,82.049766214
