Currency,Start-Date
0x,2017-08-16 17:09:22
1337coin,2015-11-10 19:19:27
1credit,2016-03-23 20:59:28
2give,2016-05-17 20:14:29
300-token,2017-07-25 07:55:03
42-coin,2014-01-15 05:31:50
808coin,2016-07-26 23:09:30
8bit,2015-04-19 21:44:28
9coin,2017-05-13 22:14:54
abncoin,2017-01-20 05:54:36
aces,2016-08-20 19:29:32
acoin,2014-09-14 21:44:21
adcoin,2017-08-25 06:50:22
adelphoi,2017-06-17 00:00:02
adshares,2017-08-13 02:14:24
adtoken,2017-07-02 06:54:17
advanced-internet-blocks,2015-05-01 06:24:26
adx-net,2017-07-01 22:54:14
adzcoin,2015-12-27 03:39:29
aeon,2015-08-05 20:09:29
aeternity,2017-06-01 20:39:54
agoras-tokens,2015-08-26 13:44:30
agrello-delta,2017-09-10 01:50:24
agrolifecoin,2016-09-05 00:19:33
aidos-kuneen,2017-06-06 09:09:52
allion,2017-02-25 04:39:39
allsafe,2016-10-30 00:44:31
alpacoin,2016-01-26 09:24:26
alphabitcoinfund,2016-05-20 00:34:29
altcoin-alt,2017-04-25 19:39:51
ambercoin,2015-02-08 07:44:29
amis,2017-04-21 04:04:46
ammo-rewards,2017-06-12 23:39:58
amsterdamcoin,2015-08-22 04:09:28
anarchistsprime,2015-07-14 22:44:50
animecoin,2014-03-01 06:43:50
anoncoin,2013-07-16 09:56:48
antibitcoin,2015-12-16 19:34:36
antilitecoin,2016-03-20 00:09:28
antimatter,2017-06-25 04:49:59
applebyte,2014-06-13 15:39:08
applecoin-apw,2017-08-12 20:59:25
apx,2017-05-25 04:14:51
aquariuscoin,2016-05-05 02:04:31
aragon,2017-05-19 01:29:56
arbit,2015-05-22 06:14:27
arcade-token,2016-12-02 02:30:16
arcticcoin,2016-10-20 05:39:34
ardor,2016-07-24 19:39:30
argentum,2013-07-05 07:11:42
argus,2017-02-27 01:19:38
aricoin,2014-02-21 14:50:22
ark,2017-03-22 21:19:43
artex-coin,2016-08-31 14:14:34
asch,2017-04-02 01:39:42
aseancoin,2017-08-19 21:35:01
asiacoin,2014-04-21 16:56:03
asiadigicoin,2016-02-23 20:14:44
asiccoin,2014-01-01 19:07:02
asset-backed-coin,2015-05-26 01:09:26
atbcoin,2017-09-19 06:49:51
atc-coin,2017-06-25 04:50:00
atmcoin,2017-08-24 07:40:05
atmos,2017-04-17 23:34:46
atomic-coin,2016-10-10 06:29:32
audiocoin,2015-06-06 15:49:30
augur,2015-10-28 18:19:29
aureus,2017-08-27 23:55:24
auroracoin,2014-02-28 06:43:33
aurumcoin,2014-10-10 06:14:23
avatarcoin,2016-01-06 19:29:28
aventus,2017-09-06 18:55:11
avoncoin,2017-02-10 04:49:40
axfunds,2016-11-18 14:34:32
axiom,2015-07-31 05:04:31
b3coin,2016-09-05 00:19:33
bagcoin,2016-07-22 19:09:31
bancor,2017-06-22 20:55:04
bankcoin,2017-03-31 05:24:44
basic-attention-token,2017-06-01 09:15:11
bata,2015-05-30 20:04:27
batcoin,2014-03-04 07:50:18
bbqcoin,2013-05-09 08:40:16
bcap,2017-05-12 01:09:52
beatcoin,2016-09-22 23:29:33
beavercoin,2014-10-05 22:59:23
belacoin,2014-03-21 09:34:15
benjirolls,2017-01-20 05:54:35
berncash,2016-04-12 09:04:28
bestchain,2017-04-02 01:39:42
betacoin,2013-12-16 03:11:47
biblepay,2017-08-28 01:50:14
bigup,2016-03-23 20:59:28
billarycoin,2016-05-22 01:09:32
billionaire-token,2017-09-23 19:04:27
binance-coin,2017-07-25 07:30:01
biobar,2017-03-21 05:09:44
bios-crypto,2015-07-28 17:54:28
bipcoin,2016-11-04 02:04:36
birds,2017-07-31 06:10:07
bit20,2017-07-18 21:29:16
bitalphacoin,2016-01-23 18:34:26
bitasean,2017-08-13 02:34:24
bitbar,2013-05-10 18:25:19
bitbay,2014-11-17 23:29:25
bitbean,2015-02-19 14:19:25
bitbtc,2014-09-24 06:24:21
bitcedi,2016-06-03 16:49:29
bitcentavo,2014-09-14 21:29:22
bitcloud,2016-09-13 20:19:35
bitcny,2014-09-24 06:24:22
bitcoal,2017-07-20 22:54:18
bitcoin-21,2016-05-06 19:59:32
bitcoin-cash,2017-07-23 19:29:28
bitcoin-planet,2017-06-25 04:04:59
bitcoin-plus,2014-05-05 03:38:33
bitcoin-scrypt,2014-03-18 06:28:54
bitcoin-unlimited,2017-03-29 22:04:44
bitcoin,2013-04-29 20:45:01
