,0x,1337coin,1credit,2give,300-token,42-coin,808coin,8bit,9coin,abncoin,aces,acoin,adcoin,adelphoi,adshares,adtoken,advanced-internet-blocks,adx-net,adzcoin,aeon,aeternity,agoras-tokens,agrello-delta,agrolifecoin,aidos-kuneen,allion,allsafe,alpacoin,alphabitcoinfund,altcoin-alt,ambercoin,amis,ammo-rewards,amsterdamcoin,anarchistsprime,animecoin,anoncoin,antibitcoin,antilitecoin,antimatter,applebyte,applecoin-apw,apx,aquariuscoin,aragon,arbit,arcade-token,arcticcoin,ardor,argentum,argus,aricoin,ark,artex-coin,asch,aseancoin,asiacoin,asiadigicoin,asiccoin,asset-backed-coin,atbcoin,atc-coin,atmcoin,atmos,atomic-coin,audiocoin,augur,aureus,auroracoin,aurumcoin,avatarcoin,aventus,avoncoin,axfunds,axiom,b3coin,bagcoin,bancor,bankcoin,basic-attention-token,bata,batcoin,bbqcoin,bcap,beatcoin,beavercoin,belacoin,benjirolls,berncash,bestchain,betacoin,biblepay,bigup,billarycoin,billionaire-token,binance-coin,biobar,bios-crypto,bipcoin,birds
0x,1.0,0.0412430527553,0.0467022429143,-0.0345883850345,0.0300408218062,0.00168604283059,-0.022826965216,0.00275242889119,-0.00544260713215,0.0165645996312,-0.0600942395892,-0.0794997916986,0.0257786436541,-0.00963186082294,0.011434785334,0.0522082220274,0.0270236178659,0.0499981953772,0.0271316916402,0.0129984685297,-0.033055421752,-0.00647123403708,0.034664253642,-0.122681405275,0.0222993769289,0.0368452280991,0.00295870473943,0.0113899094075,-0.00314838177711,0.0205921640241,0.0443685647516,-0.0019238819156,-0.0158793534354,-0.0199867718122,0.0231042899301,-0.00568524218867,0.0112549790282,-0.0590242173149,0.113538938412,0.0659717093054,-0.0296347647782,0.0151894556033,-0.00289153429017,-0.0366893655221,-0.038138441077,0.0515713464153,0.00950705387968,0.00462508385206,-0.00350602541128,-0.0256185862971,0.0243189738615,0.0125979951154,-0.0653400974113,-0.0521056203998,0.00551161366071,-0.0206415497677,-0.00523181950609,-0.0221765177388,0.00509859808562,0.0426077992206,0.0558267591575,-0.0161897505426,-0.0169093763913,-0.0527195603827,-0.00949161494262,0.0140150713802,-0.00918334635398,0.0100294922961,-0.00314191860259,0.00761957283366,-0.0169757340331,-0.00674871141476,0.00258348179324,-0.0290187308531,-0.0756930567092,-0.00733725718693,-0.00581989414485,0.017053977598,-0.00285570987733,-0.00175111470498,0.053732820411,0.0271823587061,0.00192856157867,0.00129078401659,-0.0297751183493,-0.0119395853986,-0.0226059061474,0.0592275373587,0.0165113942695,-0.00987020037964,0.00711525744696,0.0414962011895,0.0210022423662,0.0184691153863,0.0276387539459,0.153336281121,-0.0200600136889,-0.0309439844062,-0.00494066556607,0.0127695513548
1337coin,0.0412430527553,1.0,-0.035253600117,-0.0289699707881,-0.0483087173542,-0.00943195676138,0.0216919146387,-0.00668326418794,-0.0474220020038,0.00566904680742,0.0972212258453,-0.00901425548851,0.054283896351,0.172385445294,0.0338955869359,0.0340811976906,-0.0108038933644,0.0443450214277,-0.0148099462297,0.0179935746448,0.0656023751892,0.0035133056953,0.0439992254392,0.027775169203,0.0878532638089,-0.0231575469154,-0.00486626812325,0.0416780332184,0.0227996866898,-0.00443595475922,0.0161586920344,-0.00283069692706,-0.0715501661093,-0.0120126953029,-0.0177979892041,0.0245905983755,0.0117719504932,-0.084997702479,-0.0631520532936,0.0886227219728,0.0584988724751,0.0176570698008,-0.0858355955158,0.00557385711993,-0.0285609604438,-0.0127392059014,-0.00795287904688,0.00522208969861,0.0592259158551,0.026586752861,0.0131168209693,0.195635175922,-0.0224251952685,-0.0411836072151,-0.0746173171297,-0.00321545963562,-0.0676667553818,0.041450584945,-0.0232531525297,0.0272999370512,-0.0125690036317,0.0530707763926,-0.00163660890055,-0.00651559122173,0.0111071450284,0.0336551652634,0.0340368954819,0.055513563892,0.0195493497606,-0.0251291432858,-0.028128800908,0.00969440069216,-0.0560988365818,0.0177175971948,-0.042408408107,-0.0448663665041,0.0213043852973,-0.0154344995208,-0.0164351801602,-0.0475170421788,0.0580165490824,0.0257472072188,0.0238696350014,-0.0129926250581,0.0121163176066,-0.0355144928865,-0.0222336145824,0.0338979960712,0.00202126678033,-0.0178879313861,-0.0280018212537,0.0691177968955,-0.0104753844174,-0.026715995497,-0.060296033202,0.00489946923031,-0.0294807724149,0.0160640125298,-0.0142646925886,0.000941735458504
1credit,0.0467022429143,-0.035253600117,1.0,-0.0109715563206,-0.0216402172919,-0.0158763158954,-0.05331255828,-0.00995843714085,0.0300388486437,-0.00284594120248,0.214027288125,0.0040591342543,0.085341998533,0.00300505986218,0.0388257765837,0.0374590190445,0.0441075764285,-0.00351546857061,-0.0486003717445,-0.0203976651923,0.0547611898612,-0.0316235718403,-0.0127144138642,-0.0213884928608,0.017775326182,-0.00608992874921,-0.0125666181659,-0.00130563310928,-0.00513925436505,0.0053799451387,-0.0499460420963,-0.0265953060158,0.325471176813,-0.0615919798932,0.00346355507074,-0.0486929068575,0.00445094578637,-0.0310438194102,-0.0302271856075,-0.027488901039,-0.00973861928421,-0.0179342980096,0.121783938185,-0.0072403855496,0.0516851577462,-0.0221618287962,0.0240420970086,-0.0102817282307,0.0557788428159,-0.0249506047047,-0.00586221373071,-0.0130809391695,0.00445689259055,-0.0113404432024,0.000374849426266,0.0603530816795,-0.0093001357756,-0.0118482911743,-0.00822745760652,0.0123661518784,0.0152386681017,-0.0347983833688,-0.0325094883079,0.0319471605982,-0.0857724530768,0.0734546177834,0.0189722178219,0.0102068413029,-0.00767201242165,-0.00784472229258,-0.00515681169761,-0.0374110752855,-0.0204157402123,0.00329882755488,0.0215498725664,0.0299535741244,-0.00410894580973,0.138013892644,-0.00454949371561,0.0864781751989,-0.0165424772745,-0.00040354674273,0.581378610379,0.0671866786724,-0.0312773972843,-0.0220098095353,-0.0309517642745,-0.0429987879916,-0.0318600317961,-0.0285276295892,0.0035092234187,-0.0161923570244,0.00658429618789,-0.0299657331186,-0.0158777686965,-0.000710567574332,-0.0257898576269,-0.0479138670248,-0.0123918940696,0.0174797888891
2give,-0.0345883850345,-0.0289699707881,-0.0109715563206,1.0,-0.00170300698298,0.0238836079071,-0.0152689627468,0.214008429613,-0.0415148627633,0.00560541947523,-0.0193422926865,0.0463030153878,-0.0296051681209,0.0151432857146,0.00520000390472,-0.0533875527072,-0.0284757785229,-0.0512655166297,0.156090433869,-0.0145900156074,0.00511959185536,0.0385167277089,0.00477589532378,0.00570528440118,-0.0241369453382,0.00119097260785,-0.00981373981938,-0.0233348381831,-0.0072318007488,0.027010160216,0.0694449874112,0.0426221313361,0.0146213426227,0.0158950288391,-0.0239096258702,0.0010484738796,0.00417691939798,0.0666497719692,-0.000885417469135,0.00417564980173,0.0900604155437,-0.0298757131968,0.0358672803575,0.0367676356311,0.0985241196667,0.0218777327287,-0.029028624888,0.00439144645018,0.117645222583,0.0211654024537,-0.00137227475553,0.0145576075239,-0.036837520406,0.0179686247061,0.0277498015234,0.00669178191525,-0.0206314126734,-0.0137192523389,-0.00469162396431,0.00204672757321,-0.00996997786812,0.0997273883648,0.00016015297887,0.0866369359707,0.0491099536953,-0.0298138540368,0.02585129691,0.0766844483525,0.0280393511915,-0.0171389488273,-0.00307140078658,0.0486844613051,-0.0825708071291,0.0095305194757,0.0104439077334,-0.0381848999589,0.0254886206751,0.00621688206671,0.0708851422908,0.104180077507,0.0710961514079,-0.0170240636828,-0.00311511061291,0.0531158403497,-0.0236936604515,-0.00971756926172,-0.00589212359081,0.000656198335758,0.0446687381457,0.0481062303707,0.00948097427293,0.113453943298,0.0399877461802,0.0224333274567,0.00250548742032,-0.073774098355,0.0473771841641,0.280189579277,0.0693663980434,0.0663623140087
300-token,0.0300408218062,-0.0483087173542,-0.0216402172919,-0.00170300698298,1.0,-0.00473402229737,0.0681609220137,0.00522398820805,-0.00129841394188,0.0695912820596,0.0529939517222,0.0328940658231,0.00988677205024,-0.00843785351603,-0.0221377307188,-0.00785337269684,-0.00285359951347,-0.0197797896881,0.0728246536369,0.0107155118408,-0.0480981108416,-0.00301674350824,0.00963909141486,0.0175956046341,0.0110866147875,-0.0327118202087,-0.0039970292288,-0.00685701979189,0.000282774787131,-0.00606988907416,-0.0355571052344,0.0178348862116,-0.0510550214039,-0.032280842746,-0.00500196904008,0.0462313728164,-0.00106786836178,-0.0724796873549,-0.0121190935113,0.00476939004153,-0.020224010228,0.0263811277809,-0.0295106391552,0.0576956826528,0.0267551170963,0.0358512861606,-0.00873834862681,0.011734079042,0.0138552468763,0.00243721961773,0.00119001634503,0.00760471373531,-0.0570417713054,0.18794599576,0.0171400302217,0.000235422904387,-0.0283994012612,-0.0230286445943,-0.00629871169219,0.00625118869091,-0.0171023650953,-0.0182156268995,-0.0691773438656,-0.0247836084295,-0.0260311401212,-0.0160326360268,0.0091851165781,-0.00146748817563,0.0163738970957,-0.0158124152064,0.00844483040392,0.0150207150465,-0.107402232145,0.0624918614056,0.0245777715384,0.0905749668393,-0.0164680706644,-0.0332849878766,0.0301849587263,-0.0278870551118,0.00302553432472,0.000495418055108,0.00156012297414,0.00569062940287,-0.0198881601657,-0.0480323901512,-0.00385943735666,-0.0095445679296,0.00912442503342,-0.0495322269976,0.00589699694297,-0.00556614633677,-0.00485084860454,-0.0354827683952,-0.0665005654277,-0.0121782142178,0.0037794006427,-0.00241052820275,-0.0889972014973,-0.0209025824163
42-coin,0.00168604283059,-0.00943195676138,-0.0158763158954,0.0238836079071,-0.00473402229737,1.0,-0.0147180867245,0.00381507961188,-0.00797877968796,-0.0173293843618,-0.00747062726971,0.0258726032066,-0.00187713884316,-0.0022826393638,-0.0152032054554,0.00745916997176,0.00293502321319,0.00608412659627,-0.00177054898365,-0.0228995101505,0.00300839848366,0.0417484281102,-0.0108463348984,-0.0242898754114,0.0147223390993,-0.00374195500997,-0.00522917510267,-0.00713821409736,-0.00438620632767,-0.00859480160427,-0.0279993776634,-0.00101886768316,-0.00283331482128,-0.00891429714186,-0.00449912917237,-0.0104764774285,0.0011258832502,-0.00210474453232,-0.0151977971645,0.0158162527337,0.00631326348256,-0.014576831966,-0.0155846704972,-0.00437276852235,-0.00728562846999,-0.0108085230373,-0.00223089400607,-0.00349292237964,0.14396090212,-0.00856376136562,-0.000941096323001,-0.00393661096235,-0.0184919332802,-0.00781347874222,0.0545351841148,0.0103362278365,-0.0277862100538,-0.0103286030352,-0.00448113068636,-0.0215296292711,0.000540052878828,0.0799295905676,0.00306078457447,0.0196650735569,0.00667556500252,-0.0283568040034,0.0115865324452,-0.0116984623822,0.00432613975057,-0.00269559944214,-0.0194299735261,-0.000377372688795,-0.0017161165832,0.0290207621592,-0.000996236866119,0.0098110756601,-0.00298390498884,-0.00843997113046,-0.00777398086104,0.00650505810935,-0.0177853108263,-0.00149708022719,0.000514636149068,-0.00112527518805,-0.0103680402477,0.0147524948812,-0.00333870923022,-0.0122067504936,0.000550980295517,0.00172675648978,-0.0237972570014,-0.00173545303896,-0.00914255365256,-0.00498170382887,-0.0095180538987,-0.000519692253163,-0.00502165801737,-0.00466934216778,0.00774771071378,-0.00612920880705
808coin,-0.022826965216,0.0216919146387,-0.05331255828,-0.0152689627468,0.0681609220137,-0.0147180867245,1.0,-0.0319603740267,0.0477198552234,0.013158432954,-0.0995425828691,0.104000191233,0.0225315764138,0.00282264539172,-0.0341190271451,0.0298828243302,0.0915136148606,0.0877751055212,0.0288750943705,0.0244423726528,0.039775123984,0.0816496903546,-0.0192953411436,-0.0204989492138,0.0326997872538,-0.0143774829787,-0.0662749177158,-0.0479989986958,0.00183748186122,0.0194373538416,0.0220397752444,-0.0222269813477,-0.0394938512406,-0.0139959674349,0.0164255975128,0.0723526601697,-0.028253043397,0.000421764552585,-0.0175639744528,-0.0233410707157,0.0145000049395,-0.0732474987095,-0.013463232412,-0.0245487239576,-0.0267413925739,-0.0995006779135,-0.0208387947694,0.0647638709826,0.0232883006397,0.0178334876171,0.011605586216,-0.000578504443276,-0.0209119902228,0.120749161752,-0.000540537117271,-0.0100335897188,-0.0552952021103,0.0742983141378,0.0231505639015,-0.00438751959129,0.0103765480284,0.0399811004564,-0.0703770141426,-0.0194259138022,0.0491671502797,0.0763657472269,0.0109164060268,-0.00796604229904,0.0149844049043,0.015531497124,-0.00461466893003,0.0797954194321,-0.0444259045692,1.47655625254e-06,0.0321768989572,-0.0907233158629,-0.00433979033097,-0.102178513179,-0.0463159618809,0.0259719302474,0.0596349302359,-0.000908508614416,0.0087606373106,0.0141777020273,-0.0221483904771,-0.0461154355487,-0.0201659939978,0.0270993530068,-0.0522098445133,0.0770383873555,-0.00452159670312,0.0384974787137,-0.0114938428761,0.0793126717697,0.00344357564543,0.111192448172,0.0231682307334,-0.0379732077666,0.0128262317104,-0.0178243224737
8bit,0.00275242889119,-0.00668326418794,-0.00995843714085,0.214008429613,0.00522398820805,0.00381507961188,-0.0319603740267,1.0,0.0030720076292,-0.00846195628463,0.0277068955289,0.00748935760298,-0.00306643272334,-0.00236635721168,-0.0102987022294,-0.0200459293484,-0.0272856661109,0.0138255219748,0.347040490912,-0.0203379103415,0.0705410994963,-0.0222590393063,-0.00591229240928,-0.0847105525472,-0.00810604225463,0.0413943732161,-0.00174843026536,-0.00747777183541,-0.00849784357319,0.00145034685802,0.0368535973585,0.00327997795941,-0.00412978763314,0.00941705398166,-0.00331289844274,0.0776668263614,0.00887671457981,0.0903708885219,-0.0249535265323,-0.00579524367892,-0.00826180367401,-0.0332666024302,0.0471081018301,0.0467499416656,0.0391016424252,-0.00344706642988,-0.0139694636294,-0.0162308466918,0.0318609928322,0.0193910844725,0.00629799332285,-0.000776211343239,0.0653243613271,-0.00404000394422,0.0137642585826,-0.00548313805686,-0.00464139969915,0.0155736255741,-0.00332354808978,0.00491405244709,-0.00244615665369,0.00771601508063,-0.0385550313869,0.00223420838673,-0.00475956765911,-0.00450238358595,0.0573702164065,-0.0017286915179,-0.0226246421341,0.00634267172491,0.00920092867927,-0.012557415274,0.00748224436778,-0.0112206747698,-0.00222819176633,0.134254863681,0.00863134292565,0.0246772514048,0.0612202911675,0.0186647592231,-0.0205248006199,-0.00209878480512,-0.00250390588384,0.0160340839534,-0.0233610386447,-0.00709830801901,0.0557534849503,-0.0107985543004,0.00365699769222,0.179688558429,-0.0160877368873,0.137149967338,0.0890304608784,0.0713196404134,-0.00975409041165,-0.0257836841901,0.00804054727771,-0.00215185851266,-0.00203126733206,0.0628110147235
9coin,-0.00544260713215,-0.0474220020038,0.0300388486437,-0.0415148627633,-0.00129841394188,-0.00797877968796,0.0477198552234,0.0030720076292,1.0,-0.0255356560217,-0.045677643101,0.000922332588146,-0.0308906724148,0.0380564383889,-0.0262742518696,-0.0210551225104,0.105881211822,-0.000379243360923,0.0441129977413,0.0137048255,0.0227855386208,-0.0583921971731,0.0612940781318,0.0420658139798,0.023571989674,-0.00368217822161,-0.011175998728,-0.00477474697992,-0.0442282056359,0.0121119374927,-0.0351022457226,-0.000305581130445,0.0148792155313,-0.0238551984199,-0.0270252386904,0.0597932737976,-0.00715151802299,0.0289119536838,0.130471038426,-0.00832903449508,0.0482197126602,0.0368391181244,-0.012086646197,0.159685118483,-0.00674319798301,-0.0366163233074,-0.0894050365095,-0.0180171174669,0.158323164861,0.000898885660755,0.114771945394,-0.0201999021669,0.0214770561561,0.0185397309129,-0.0385605972815,-0.0341396017419,0.04639132283,0.0205320062469,-0.00404991997705,-0.00384708107323,0.0425759551186,0.0487532126365,-0.00179396580155,-0.00676747497319,-0.00143196969816,0.0759697534338,-0.0340650668718,-0.023118244444,0.0596384997861,-0.0254683624552,-0.00373415189759,-0.0416221689471,-0.00609503901842,0.0295335983867,-0.0485864064672,0.098107476325,-0.0708928502513,-0.00660522220545,-0.0043402578716,-0.0437806941714,0.00385757052397,0.053423703557,0.0183962798547,-0.00666299713561,-0.0121023541,-0.0145600860961,-0.0352532034224,-0.00301085781932,0.00539035695611,0.0144945372294,-0.00833337829615,-0.0244333958264,-0.0197597228261,-3.94751001328e-05,-0.0137177068821,0.0167425443133,-0.00711396820878,-0.0137259837157,-0.00103891380268,0.00399913213979
abncoin,0.0165645996312,0.00566904680742,-0.00284594120248,0.00560541947523,0.0695912820596,-0.0173293843618,0.013158432954,-0.00846195628463,-0.0255356560217,1.0,-0.0141474370681,-0.00359648613735,-0.0113214767333,-0.032067849542,-0.0323562331193,7.64556921963e-05,0.100684451404,0.0106254712497,0.0245817941087,0.0196672479966,-0.00320648403476,0.0245091664185,-0.0124805288915,0.0317973001063,-0.0358556408793,-0.0109903342519,-0.0340145350236,0.0498829393355,0.0350350749337,-0.0364002409664,0.0448215630962,-0.0455355349713,-0.01297379668,0.0107229576718,-0.0136466626228,0.0437671564496,0.0266945235218,-0.0182187212458,0.0331628538158,0.0490432095089,-0.0305275942731,0.0258083502727,-0.00431290754306,0.0130052586347,-0.0525442104226,-0.0407639150669,-0.0382553405406,-0.0123020802494,0.133078394118,-0.016518379177,-0.0102372744726,-0.00598832333206,0.0620198748112,-0.00226589345354,-0.025065164964,-0.00656386339019,0.00718198508463,-0.0305144976861,-0.0193021835544,-0.0185170036944,-0.0274175889377,0.0339512192022,0.0524609034473,-0.00904966365876,-0.0298381390024,0.0236749152935,0.00991746381149,0.00857767261702,-0.0112308193548,-0.00351200268658,0.103316097141,-0.0324390195169,-0.0144008755284,0.0131576898995,-0.00304681228643,0.000862355021189,0.152254819211,-0.0219369866947,0.0043674304493,-0.00756660244937,0.0594487623541,-0.00111211001921,-0.0246720577189,-0.0331223773519,0.00627505412615,0.00630623965737,0.0068511157082,0.012512318293,0.00667612595042,-0.0295103928756,-0.0171109071544,0.0294694617759,-0.010443726429,-0.00321058695611,-0.0129573384672,-0.00240589106772,0.00565774718535,0.00144010243424,-0.0251480009156,-0.0238800678169
