name,date,website,size,year
Internxt,9/28/2017,https://internxt.io/,0.16,17
Solomon Exchange,9/27/2017,https://solomonex.info/,0.16,17
Hackspace Capital,9/20/2017,https://hackspace.capital/,4.80,17
Impak Finance,9/20/2017,https://mpk.impak.eco/en/,1.05,17
Modum.io,9/22/2017,https://modum.io/,13.50,17
DetectorToken,9/20/2017,https://detectortoken.com/,0.29,17
SilentNotary,9/18/2017,https://silentnotary.com/,0.12,17
Intelligent Trading Tech,9/17/2017,http://intelligenttrading.org/,3.12,17
KyberNetwork,9/16/2017,https://kyber.network/,53.01,17
KICKICO,9/16/2017,https://www.kickico.com/zh/,17.12,17
ATB Coin,9/15/2017,https://atbcoin.com/,16.55,17
Smart Investment Fund Token,9/15/2017,https://smartift.com/,1.75,17
Trackr,9/15/2017,https://www.trackr.im/,0.29,17
Propy,9/15/2017,https://tokensale.propy.com/,12.52,17
FaceCoin,9/15/2017,http://facecoin.tech/,0.84,17
ICObox,9/15/2017,https://icos.icobox.io/,12.05,17
Social(SCL),9/14/2017,https://ico.nexus.social/,5.22,17
BitDice,9/14/2017,https://ico.bitdice.me/zh/,8.72,17
Aventus,9/12/2017,https://aventus.io/,17.31,17
Enigma Catalyst,9/12/2017,https://easymine.io/,45.00,17
Ahoolee,9/11/2017,http://ahoolee.io/,0.14,17
StuffGoGo,9/11/2017,https://stuffgogo.com/,0.24,17
Prospector,9/10/2017,https://prospectors.io/en,0.6,17
Rivetz,9/10/2017,https://rivetzintl.com/,13.63,17
OneGram,9/10/2017,https://onegram.org/,1.51,17
Filecoin,9/10/2017,http://filecoin.io/,262.00,17
fujinto,9/10/2017,https://fujinto.io/,2.01,17
Alpen Coin,9/10/2017,https://www.alpencoin.com/,2.43,17
Hubii,9/7/2017,https://www.hubii.network/,6.68,17
Revain,9/6/2017,https://revain.org/,0.70,17
Substratum,9/6/2017,https://substratum.net,12.21,17
WorldWide Anonymous Messaging,9/6/2017,http://wwam.io/,0.17,17
COSS,9/6/2017,https://coss.io/,2.36,17
Indorse,9/6/2017,https://indorse.io/,7.98,17
Viberate,9/5/2017,https://www.viberate.io/,10.71,17
FinShi Capital,8/31/2017,http://finshi.capital/,9.64,17
Moeda,8/31/2017,https://moeda.in/,0.58,17
ATB Coin,8/31/2017,https://atbcoin.com/,17.60,17
XPlay,8/30/2017,http://xplay.fund,10.91,17
DMarket,8/21/2017,https://dmarket.io/,11.97,17
Corion,8/27/2017,https://www.corion.io/,1.88,17
DimCoin,8/27/2017,https://www.dimcoin.io/,4.70,17
Opus,8/24/2017,http://opus-foundation.org/,1.38,17
Paquarium,8/24/2017,https://ico.paquarium.com/#executiveteam,0.62,17
Agrello,8/17/2017,https://www.agrello.org/,26.14,17
Tierion,8/10/2017,https://tokensale.tierion.com/,25.04,17
Blocktix,8/7/2017,https://www.blocktix.io/,6.98,17
MonsterByte,8/4/2017,https://www.monsterbyte.io/ico,0.97,17
CoinDash,8/4/2017,https://santiment.net/,0.14,17
district0x Network,8/1/2017,https://district0x.io/,13.19,17
SunContract,8/1/2017,https://suncontract.org/,2.41,17
FundYourselfNow,7/31/2017,https://www.fundyourselfnow.com/#,0.74,17
11.97,7/31/2017,https://cryptonomos.com/wtt/,18.68,17
Blocktix,7/28/2017,https://blocktix.io/,6.89,17
RootProject,7/28/2017,https://www.rootproject.co/,3.50,17
TrueFlip,7/28/2017,https://ico.trueflip.io/,4.04,17
GeoFounders,7/26/2017,http://www.geofounders.com/ico/,0.23,17
Primalbase,7/26/2017,http://primalbase.com/,6.82,17
Dent,7/26/2017,https://www.dentcoin.com/,4.10,17
Eros,7/23/2017,https://eros.vision/,4.86,17
SkinCoin,7/21/2017,https://skincoin.org/,3.32,17
Gilgam,7/20/2017,https://ico.gilgam.es/ico,0.22,17
Gilgam.es,7/20/2017,https://ico.gilgam.es/,0.21,17
Pillar,7/17/2017,https://pillarproject.io/,18.53,17
CoinDash,7/17/2017,https://coindash.io/,0.00,17
Sumerchain,7/17/2017,https://sumerchain.com/,0.00,17
Mothership,7/16/2017,https://mothership.cx/,4.69,17
Bitquence,7/16/2017,https://www.bitquence.com/,1.23,17
PressOne,7/15/2017,https://ico.info/projects/1,82.00,17
SONM,7/15/2017,https://sonm.io/,42.00,17
Orocrypt,7/14/2017,https://orocrypt.com/#,0.14,17
Fuck,7/13/2017,http://www.fucktoken.io/,0.30,17
Tezos,7/13/2017,https://www.tezos.com/,232.00,17
InsureX,7/13/2017,https://insurex.co/,17.27,17
Nimiq,7/12/2017,https://nimiq.com/,14.53,17
ATBcoin,7/12/2017,https://atbcoin.com/,10.84,17
LeviarCoin,7/9/2017,https://leviarcoin.org/,0.77,17
OnPlace,7/6/2017,http://investments.onplace.io/,0.92,17
Polybius,7/5/2017,https://polybius.io/,31.65,17
Santiment,7/5/2017,https://santiment.net,12.09,17
OpenANX,7/4/2017,https://www.openanx.org/en/,18.76,17
Rialto,7/4/2017,https://www.rialto.ai/,10.00,17
Starta,7/4/2017,https://startaico.com/,5.00,17
CrypViser,7/4/2017,https://ico.crypviser.net/,3.93,17
Rialto.AI,7/3/2017,https://www.rialto.ai/,10.00,17
EncryptoTel,7/1/2017,https://encryptotel.com/,4.52,17
AdEx,6/30/2017,https://www.adex.network/,12.31,17
BlockPool,6/30/2017,https://blockpool.io,1.75,17
DCORP,6/29/2017,https://www.dcorp.it/crowdsale,5.05,17
Air,6/29/2017,https://tokeninvestor.com/crowdfunding/air,0.00,17
21 Million,6/28/2017,https://www.21million.co.uk/,0.38,17
SilverCoin,6/27/2017,https://silvercoin.io/,0.21,17
iDice,6/26/2017,https://crowdsale.idice.io/,2.02,17
Octanox,6/26/2017,https://octanox.org/,0.00,17
Wagerr,6/25/2017,https://wagerr.com/,9.92,17
CryptoPing,6/25/2017,https://cryptoping.tech/,0.39,17
NVO,6/25/2017,https://nvo.io/,0.00,17
TenX,6/24/2017,https://www.tenx.tech/,83.11,17
MaskNetwork,6/24/2017,http://masknetwork.com/,0.00,17
OmiseGO,6/23/2017,https://omg.omise.co/,21.00,17
FootballCoin,6/23/2017,https://www.xfccoin.io/,2.42,17
Civic,6/22/2017,https://www.civic.com/,33.00,17
Status,6/21/2017,https://status.im/,95.00,17
Internet of Coins,6/21/2017,https://coinstorm.net/en,1.10,17
Monaco,6/18/2017,https://mona.co/,10.29,17
BidLend,6/14/2017,http://www.bidlend.io/,0.00,17
Minexcoin,6/13/2017,https://minexcoin.com/,0.00,17
SuperDAO,6/13/2017,http://www.superdao.io/,0.00,17
Bancor,6/12/2017,https://www.bancor.network/,153.00,17
Aira,6/11/2017,http://aira.life/,1.02,17
Zrcoin,6/9/2017,https://zrcoin.io/,7.01,17
EcoBit,6/8/2017,http://www.ecobit.io/en/index.html,3.49,17
Cofound.it,6/6/2017,https://cofound.it/en/,11.34,17
VOISE,6/6/2017,https://voise.it/,0.41,17
Patientory,6/3/2017,https://patientory.com/,6.52,17
Embermine,6/2/2017,https://embermine.com/,0.08,17
Adel,6/1/2017,https://www.adelphoi.io/,1.21,17
Basic Attention Token,5/31/2017,https://basicattentiontoken.org/,35.00,17
Exscudo,5/31/2017,https://exscudo.com/,5.30,17
Mysterium Network,5/30/2017,https://mysterium.network/,14.10,17
Suretly,5/30/2017,https://www.ico.suretly.com/,1.68,17
Veritaseum,5/26/2017,http://veritas.veritaseum.com/,9.58,17
Metal,5/26/2017,https://www.metalpay.com/,0.03,17
MobileGo,5/25/2017,https://mobilego.io/,53.07,17
Storj,5/25/2017,https://storj.io/index.html,29.22,17
E4ROW,5/22/2017,https://www.e4row.co.il/,0.86,17
Viva Coin,5/21/2017,https://vivaco.in/,0.00,17
Aragon,5/17/2017,https://aragon.one/,24.75,17
BitcoinGrowthFund,5/17/2017,https://bitcoingrowthfund.com/mcap,19.35,17
Peerplays,5/15/2017,https://www.peerplays.com/,1.46,17
Ethbits,5/15/2017,https://www.ethbits.com/,1.28,17
Legends Room,5/15/2017,https://legendsroomlv.com/,1.23,17
BOScoin,5/10/2017,https://boscoin.io/en/home/,17.92,17
Nexxus,5/8/2017,http://www.nexxuscoin.com/sections/company/21/nexxuscoin/index.html,0.00,17
Quantum Resistant Ledger,5/7/2017,https://theqrl.org/,4.16,17
TokenCard,5/2/2017,https://tokencard.io/,12.70,17
Creativechain,5/1/2017,https://www.creativechain.org,0.35,17
Apptrade,4/30/2017,https://www.apptrade.io/,0.24,17
Lunyr,4/28/2017,https://lunyr.com/,5.32,17
Back to Earth,4/28/2017,https://backto.earth/,0.97,17
TaaS,4/27/2017,https://taas.fund/,7.57,17
Humaniq,4/27/2017,https://humaniq.co/,5.16,17
Gnosis,4/24/2017,https://gnosis.pm/,12.25,17
IEX.EC,4/19/2017,http://iex.ec/,12.12,17
WeTrust,4/12/2017,https://www.wetrust.io/,4.66,17
Blockchain Capital,4/10/2017,http://blockchain.capital/,10.00,17
Aeternity,4/6/2017,https://www.aeternity.com/,22.63,17
Cosmos Network,4/6/2017,https://cosmos.network/,16.80,17
Cosmos,4/5/2017,https://cosmos.network/,0.39,17
Matchpool,4/3/2017,https://matchpool.co/,5.63,17
Equibit,3/31/2017,http://equibitgroup.com/,1.14,17
Chain of Points,3/31/2017,https://chainofpoints.com/,0.01,17
CashScripter,3/30/2017,https://www.cashscripter.com/,0.19,17
Qtum,3/21/2017,https://qtum.org/en/,15.43,17
Edgeless,3/21/2017,https://edgeless.io/,2.65,17
Lykke,2/28/2017,https://www.lykke.com/,1.21,17
Augmentors,2/28/2017,http://www.augmentorsgame.com/,1.09,17
Lykke (2nd round),2/27/2017,https://www.lykke.com/,1.97,17
Contingency,2/27/2017,https://contingency.tech/,0.39,17
Etheroll,2/26/2017,https://etheroll.com/,0.29,17
Melon,2/15/2017,https://melonport.com/,2.90,17
Chronobank,2/14/2017,https://chronobank.io/,5.40,17
Dfinity,2/13/2017,https://dfinity.network/,3.75,17
Tokes,1/14/2017,http://cannabisrevolution.us/,0.25,17
Wings,1/6/2017,https://www.wings.ai/#!/home/discover,2.07,17
BetKing,12/31/2016,https://betking.io/,0.55,16
Darcrus,12/28/2016,https://darcr.us/,0.30,16
BlockCDN,12/26/2016,http://www.blockcdn.org/,0.30,16
Ether.camp,12/22/2016,http://www.ether.camp/,0.65,16
Virtual Accelerator,12/21/2016,http://www.ether.camp/,0.65,16
Mysterium (1st round),12/18/2016,https://mysterium.network/,0.05,16
vDice,12/15/2016,https://www.vdice.io/,1.65,16
Ark,12/11/2016,https://ark.io/,1.00,16
Golos,12/4/2016,https://golos.io/,0.45,16
Incent,11/30/2016,https://www.incentloyalty.com/,1.00,16
Beyond the Void,11/30/2016,https://www.beyond-the-void.net/,0.33,16
MassNetwork,11/30/2016,https://mass.network/,0.25,16
Arcade City,11/29/2016,https://arcade.city/,0.64,16
ETCWin,11/23/2016,https://www.etcwin.com/,1.31,16
Komodo,11/20/2016,https://komodoplatform.com/,1.98,16
Golem,11/11/2016,https://golem.network/,8.60,16
Kibo Lotto,11/9/2016,https://kiboplatform.net/en/landing.html,1.90,16
Decent,11/6/2016,https://decent.ch/,4.13,16
Synereo,10/17/2016,https://www.synereo.com/,4.70,16
Lykke (1st round),10/9/2016,https://www.lykke.com/,1.15,16
SingularDTV,10/2/2016,https://singulardtv.com/,7.50,16
Iconomi,9/26/2016,https://www.iconomi.net/,10.50,16
First Blood,9/26/2016,https://firstblood.io/sale/,5.50,16
