Name,Open Date (GMT),Close Date (GMT),Website,Whitepaper,Asset,ICO Size ($m)
Opus,7/21/2017,8/24/2017,http://opus-foundation.org/,https://opus-foundation.org/whitepaper.pdf,OPT,1.33
Paquarium,6/22/2017,8/24/2017,https://ico.paquarium.com/#executiveteam,https://ico.paquarium.com/wp-content/uploads/2017/06/Whihte-Paper.pdf,PQT,0.62
Agrello,7/16/2017,8/17/2017,https://www.agrello.org/,https://docs.agrello.org/Agrello-Self-Aware_Whitepaper-English.pdf,DLT,26.14
Tierion,7/27/2017,8/10/2017,https://tokensale.tierion.com/,https://tokensale.tierion.com/TierionTokenSaleWhitePaper.pdf,TNT,25.04
Blocktix,7/7/2017,8/7/2017,https://www.blocktix.io/,https://www.blocktix.io/public/doc/blocktix-wp-draft.pdf#whitepaper,TIX,6.98
district0x Network,7/18/2017,8/1/2017,https://district0x.io/,https://district0x.io/docs/district0x-whitepaper.pdf,DNT,13.19
SunContract,6/30/2017,8/1/2017,https://suncontract.org/,https://suncontract.org/res/whitepaper.pdf,SNC,2.41
FundYourselfNow,6/13/2017,7/31/2017,https://www.fundyourselfnow.com/#,https://www.fundyourselfnow.com/wp-content/uploads/2017/04/FYN-Business_Outline-2017.pdf,FYN,0.74
Giga Watt,6/2/2017,7/31/2017,https://cryptonomos.com/wtt/,,WTT,18.68
Blocktix,7/7/2017,7/28/2017,https://blocktix.io/,https://blocktix.io/public/doc/blocktix-wp-draft.pdf#whitepaper,TIX,6.89
RootProject,7/10/2017,7/28/2017,https://www.rootproject.co/,https://docs.wixstatic.com/ugd/903af2_2e38351151e5444b8a488fb9ee7af43a.pdf,ROOTS,3.50
TrueFlip,6/28/2017,7/28/2017,https://ico.trueflip.io/,https://trueflip.io/TrueFlip%20Whitepaper(01.06).pdf?1,TFL,4.04
GeoFounders,6/25/2017,7/26/2017,http://www.geofounders.com/ico/,http://www.geofounders.com/GeoFoundersWhitePaper.pdf,GUNS,0.23
Primalbase,6/26/2017,7/26/2017,http://primalbase.com/,http://primalbase.com/assets/PrimalbaseWP.pdf,PBT,6.82
Dent,7/11/2017,7/26/2017,https://www.dentcoin.com/,,,4.10
Eros,7/9/2017,7/23/2017,https://eros.vision/,https://eprint.iacr.org/2016/464.pdf,,4.86
SkinCoin,6/21/2017,7/21/2017,https://skincoin.org/,https://skincoin.org/whitepaper.pdf,SKIN,3.32
Gilgam,6/20/2017,7/20/2017,https://ico.gilgam.es/ico,https://ico.gilgam.es/whitepaper/Gilgam.es.whitepaper.pdf,GGS,0.22
Gilgam.es,6/20/2017,7/20/2017,https://ico.gilgam.es/,https://ico.gilgam.es/whitepaper/Gilgam.es.whitepaper.pdf,,0.21
Pillar,7/15/2017,7/17/2017,https://pillarproject.io/,,PLR,18.53
CoinDash,7/17/2017,7/17/2017,https://coindash.io/,https://coindash.io/coindash-whitepaper.pdf,CDT,0.00
Sumerchain,6/17/2017,7/17/2017,https://sumerchain.com/,https://sumerchain.com/images/button3.png,SMET,0.00
Mothership,7/7/2017,7/16/2017,https://mothership.cx/,https://mothership.cx/documents/whitepaper.pdf,MSP,4.69
Bitquence,6/28/2017,7/16/2017,https://www.bitquence.com/,,BQX,1.23
PressOne,7/12/2017,7/15/2017,https://ico.info/projects/1,\,PRS,82.00
SONM,6/15/2017,7/15/2017,https://sonm.io/,https://sonm.io/Sonm1.pdf,SNM,42.00
Orocrypt,6/14/2017,7/14/2017,https://orocrypt.com/#,https://orocrypt.com/docs/whitepaper.pdf,OROC,0.14
Tezos,7/1/2017,7/13/2017,https://www.tezos.com/,https://www.tezos.com/static/papers/white_paper.pdf,XTZ,232.00
InsureX,7/10/2017,7/13/2017,https://insurex.co/,https://insurex.co/wp-content/uploads/2017/05/insurex_whitepaper.pdf,IXT,17.27
Nimiq,6/28/2017,7/12/2017,https://nimiq.com/,https://icobazaar.com/static/8943c304a27c457957350ecaf4d97c08/NimiqAFrictionlessPaymentProtocolNativetotheWeb.pdf,NET,14.53
