timestamp,"market_cap-weighted (max_weight=0.05, min_volume=1000000)","market_cap-weighted (max_weight=0.05, min_volume=10000000)","market_cap-weighted (max_weight=0.1, min_volume=1000000)","market_cap-weighted (max_weight=0.1, min_volume=10000000)","market_cap-weighted (max_weight=0.2, min_volume=1000000)","market_cap-weighted (max_weight=0.2, min_volume=10000000)"
1367236800000,100,100,100,100,100,100
1367323200000,100.0,100.0,100.0,100.0,100.0,100.0
1367409600000,100.0,100.0,100.0,100.0,100.0,100.0
1367496000000,100.0,100.0,100.0,100.0,100.0,100.0
1367582400000,100.0,100.0,100.0,100.0,100.0,100.0
1367668800000,100.0,100.0,100.0,100.0,100.0,100.0
1367755200000,100.0,100.0,100.0,100.0,100.0,100.0
1367841600000,100.0,100.0,100.0,100.0,100.0,100.0
1367928000000,100.0,100.0,100.0,100.0,100.0,100.0
1368014400000,100.0,100.0,100.0,100.0,100.0,100.0
1368100800000,100.0,100.0,100.0,100.0,100.0,100.0
1368187200000,100.0,100.0,100.0,100.0,100.0,100.0
1368273600000,100.0,100.0,100.0,100.0,100.0,100.0
1368360000000,100.0,100.0,100.0,100.0,100.0,100.0
1368446400000,100.0,100.0,100.0,100.0,100.0,100.0
1368532800000,100.0,100.0,100.0,100.0,100.0,100.0
1368619200000,100.0,100.0,100.0,100.0,100.0,100.0
1368705600000,100.0,100.0,100.0,100.0,100.0,100.0
1368792000000,100.0,100.0,100.0,100.0,100.0,100.0
1368878400000,100.0,100.0,100.0,100.0,100.0,100.0
1368964800000,100.0,100.0,100.0,100.0,100.0,100.0
1369051200000,100.0,100.0,100.0,100.0,100.0,100.0
1369137600000,100.0,100.0,100.0,100.0,100.0,100.0
1369224000000,100.0,100.0,100.0,100.0,100.0,100.0
1369310400000,100.0,100.0,100.0,100.0,100.0,100.0
1369396800000,100.0,100.0,100.0,100.0,100.0,100.0
1369483200000,100.0,100.0,100.0,100.0,100.0,100.0
1369569600000,100.0,100.0,100.0,100.0,100.0,100.0
1369656000000,100.0,100.0,100.0,100.0,100.0,100.0
1369742400000,100.0,100.0,100.0,100.0,100.0,100.0
1369828800000,100.0,100.0,100.0,100.0,100.0,100.0
1369915200000,100.0,100.0,100.0,100.0,100.0,100.0
1370001600000,100.0,100.0,100.0,100.0,100.0,100.0
